id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1271519317192916993,1271500322444324864,1591988803000,2020-06-12,15:06:43,EDT,1184291885084360704,phyllia12,Phyllia,,"It's dangerous to lift the prohibition on nuclear.  Radioactive waste containment isn't clean energy, it's an accident waiting to happen. Nuclear energy lobbyist should never be trusted, they'll lie to make a profit, even if it means cancer and birth defects for the people.","['lisamurkowski', 'dfcgov']",[],[],0,0,0,[],[],https://twitter.com/Phyllia12/status/1271519317192916993,False,,0,,,,,,,"[{'user_id': '1184291885084360704', 'username': 'Phyllia12'}, {'user_id': '18061669', 'username': 'lisamurkowski'}, {'user_id': '123334719', 'username': 'DFCgov'}]",,,,
1271518191186034688,1271518191186034688,1591988535000,2020-06-12,15:02:15,EDT,912616039271342081,uknuclearenergy,Nuclear - GB Grid,,GB Grid: #Nuclear is generating 4.22GW (14.65%) out of 28.82GW,[],[],[],0,0,0,['#nuclear'],[],https://twitter.com/UKNuclearEnergy/status/1271518191186034688,False,,0,,,,,,,"[{'user_id': '912616039271342081', 'username': 'UKNuclearEnergy'}]",,,,
1271514603999158272,1271512285035593729,1591987679000,2020-06-12,14:47:59,EDT,473464133,agreenewyork,AGREE New York,,"Taking into consideration the entire fuel chain, nuclear energy is a net producer of greenhouse gases.",[],[],[],1,0,0,[],[],https://twitter.com/agreenewyork/status/1271514603999158272,False,,0,,,,,,,"[{'user_id': '473464133', 'username': 'agreenewyork'}]",,,,
1271514111487234049,1271514111487234049,1591987562000,2020-06-12,14:46:02,EDT,297660384,smartenergy1,Smart Energy - UAMPS,,Friday Fun Fact: Nuclear is one of the best options to decarbonize the world. It also makes up more than half of our nation’s clean energy in the United States. #SMR #nuclearenergy #cleanenergy pic.twitter.com/4HGWk0YkrJ,[],[],['https://pbs.twimg.com/media/EaVTWIKWAAILCVU.jpg'],0,0,1,"['#smr', '#nuclearenergy', '#cleanenergy']",[],https://twitter.com/SmartEnergy1/status/1271514111487234049,False,,0,,,,,,,"[{'user_id': '297660384', 'username': 'SmartEnergy1'}]",,,,
1271509011209359362,1271509011209359362,1591986346000,2020-06-12,14:25:46,EDT,1158124998176886784,tomhickey_,Tom Hickey,,"Enjoyed attending my first @UKPONI conference! Three days of research on everything from hypersonics and lasers to space security and nuclear energy sector, with great panellist diversity. Also engaging simulation exercise to get the mighty nation of ""Lowlandia"" to join the TPNW  https://twitter.com/UKPONI/status/1271464960305115136 …",['ukponi'],['https://twitter.com/UKPONI/status/1271464960305115136'],[],0,0,0,[],[],https://twitter.com/TomHickey_/status/1271509011209359362,False,https://twitter.com/UKPONI/status/1271464960305115136,0,,,,,,,"[{'user_id': '1158124998176886784', 'username': 'TomHickey_'}, {'user_id': '221806950', 'username': 'UKPONI'}]",,,,
1271508907870113797,1271508907870113797,1591986321000,2020-06-12,14:25:21,EDT,462738167,ital_john,Deputy Sherrif,,"Uhuru #kenyatta government went for SGR instead it could have gone for nuclear energy plant now the country couldn't be solely relying on incapable KPLC . poor planning
#MutuaAdviceToKenyans",[],[],[],0,0,3,"['#kenyatta', '#mutuaadvicetokenyans']",[],https://twitter.com/ital_john/status/1271508907870113797,False,,0,,,,,,,"[{'user_id': '462738167', 'username': 'ital_john'}]",,,,
1271507238784557056,1271507238784557056,1591985923000,2020-06-12,14:18:43,EDT,226310002,iam__network,IAM Platform,,"Is Water Vapor the Next Great Renewable? 

READ MORE:  https://blog.iammarketingmedia.com/is-water-vapor-the-next-great-renewable/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter …
#GeothermalEnergy #NuclearEnergy #RenewableEnergy #SolarEnergy #SolarPanels #SteamEnergy #WaveEnergy #WaveGenerators #WindEnergy #Windmills~ pic.twitter.com/gQ9QCzy0Zp",[],['https://blog.iammarketingmedia.com/is-water-vapor-the-next-great-renewable/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter'],['https://pbs.twimg.com/media/EaVNGFxWsAEcHpp.jpg'],0,1,0,"['#geothermalenergy', '#nuclearenergy', '#renewableenergy', '#solarenergy', '#solarpanels', '#steamenergy', '#waveenergy', '#wavegenerators', '#windenergy', '#windmills']",[],https://twitter.com/IAM__Network/status/1271507238784557056,False,,0,,,,,,,"[{'user_id': '226310002', 'username': 'IAM__Network'}]",,,,
1271504035120664577,1271154414166908928,1591985160000,2020-06-12,14:06:00,EDT,352277045,kla_mar,Klaas Martens,,"It is going to happen, ultra safe, affordable, sustainable zero CO2 nuclear energy! ""It giet oan""","['globalenergy', 'nuscale_power', 'dfcgov']",[],[],0,0,0,[],[],https://twitter.com/kla_mar/status/1271504035120664577,False,,0,,,,,,,"[{'user_id': '352277045', 'username': 'kla_mar'}, {'user_id': '26051412', 'username': 'globalenergy'}, {'user_id': '229607618', 'username': 'NuScale_Power'}, {'user_id': '123334719', 'username': 'DFCgov'}]",,,,
1271503094166302720,1271503094166302720,1591984935000,2020-06-12,14:02:15,EDT,912616039271342081,uknuclearenergy,Nuclear - GB Grid,,GB Grid: #Nuclear is generating 4.22GW (14.13%) out of 29.82GW,[],[],[],0,0,0,['#nuclear'],[],https://twitter.com/UKNuclearEnergy/status/1271503094166302720,False,,0,,,,,,,"[{'user_id': '912616039271342081', 'username': 'UKNuclearEnergy'}]",,,,
1271501750365798400,1271501750365798400,1591984615000,2020-06-12,13:56:55,EDT,836811314915848192,brendaw101949,Brenda White,,I have heard that Nuclear Energy is clean UNTIL IT ISN’T kept Cool! Remember Chernobyl & 3 mile island?  https://twitter.com/lisamurkowski/status/1271500322444324864 …,[],['https://twitter.com/lisamurkowski/status/1271500322444324864'],[],0,0,0,[],[],https://twitter.com/BrendaW101949/status/1271501750365798400,False,https://twitter.com/lisamurkowski/status/1271500322444324864,0,,,,,,,"[{'user_id': '836811314915848192', 'username': 'BrendaW101949'}]",,,,
1271500367214362624,1271500367214362624,1591984285000,2020-06-12,13:51:25,EDT,3123549208,fanniegate2231,tim jones,,"#FANNIEGATE #KCA  https://ift.tt/1Eg6gKn  lisamurkowski: Nuclear energy technology can help meet the world’s clean energy needs, which is why Sen_JoeManchin and I led a letter to DFCgov urging nuclear energy projects be able to apply for financing. I am pleased they voted to rev…",[],['https://ift.tt/1Eg6gKn'],[],0,0,0,"['#fanniegate', '#kca']",[],https://twitter.com/fanniegate2231/status/1271500367214362624,False,,0,,,,,,,"[{'user_id': '3123549208', 'username': 'fanniegate2231'}]",,,,
1271500322444324864,1271500322444324864,1591984274000,2020-06-12,13:51:14,EDT,18061669,lisamurkowski,Sen. Lisa Murkowski,,"Nuclear energy technology can help meet the world’s clean energy needs, which is why @Sen_JoeManchin and I led a letter to @DFCgov urging nuclear energy projects be able to apply for financing. I am pleased they voted to reverse the categorical prohibition on civil nuclear.","['sen_joemanchin', 'dfcgov']",[],[],24,11,32,[],[],https://twitter.com/lisamurkowski/status/1271500322444324864,False,,0,,,,,,,"[{'user_id': '18061669', 'username': 'lisamurkowski'}, {'user_id': '234374703', 'username': 'Sen_JoeManchin'}, {'user_id': '123334719', 'username': 'DFCgov'}]",,,,
1271499475064721409,1271287949095612423,1591984072000,2020-06-12,13:47:52,EDT,146642600,rileyjohngibbs,Riley John Gibbs,,"I’m imagining some product manager making a push to supply it with the good batteries instead of the cheap ones, not realizing just how good the good batteries really were.

Or maybe, like Godzilla, it’s powered by undying nuclear energy.",['formorphology'],[],[],1,0,1,[],[],https://twitter.com/RileyJohnGibbs/status/1271499475064721409,False,,0,,,,,,,"[{'user_id': '146642600', 'username': 'RileyJohnGibbs'}, {'user_id': '4776695254', 'username': 'Formorphology'}]",,,,
